Class,Section,Days & Times,Room,Instructor,Meeting Dates,Status
EAR 105,"M023-RECRegular",Tu 12:30PM - 1:25PM,Heroy Geology Building 102,M. Woodley,01/14/2025 - 04/22/2025,N/A
EAR 106,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Heroy Geology Building Aud,L. Streib,01/13/2025 - 04/28/2025,N/A
EAR 106,"M003-LAB Regular",Mo 3:45PM - 4:40PM,Heroy Geology Building 110,B. Pummell,01/13/2025 - 04/28/2025,N/A
EAR 106,"M004-LAB Regular",Mo 5:15PM - 6:10PM,Heroy Geology Building 110,B. Pummell,01/13/2025 - 04/28/2025,N/A
EAR 111,"M002-RECRegular",Tu 9:30AM - 10:25AM,Heroy Geology Building 210,C. Bush,01/14/2025 - 04/22/2025,N/A
EAR 117,"M001-SEC Regular",MoWe 8:00AM - 9:20AM,Heroy Geology Building Aud,D. Curewitz,01/13/2025 - 04/28/2025,N/A
EAR 117,"M002-RECRegular",Mo 10:35AM - 11:30AM,Heroy Geology Building 210,Z. Wang,01/13/2025 - 04/28/2025,N/A
EAR 117,"M003-RECRegular",We 10:35AM - 11:30AM,Heroy Geology Building 210,M. Brannon,01/15/2025 - 04/23/2025,N/A
EAR 117,"M004-RECRegular",We 11:40AM - 12:35PM,Heroy Geology Building 210,Z. Wang,01/15/2025 - 04/23/2025,N/A
EAR 117,"M005-RECRegular",Fr 10:35AM - 11:30AM,Heroy Geology Building 210,M. Brannon,01/17/2025 - 04/25/2025,N/A
EAR 117,"M020-SEC Regular",MoWe 5:15PM - 6:35PM,Heroy Geology Building Aud,D. Curewitz,01/13/2025 - 04/28/2025,N/A
EAR 117,"M021-RECRegular",Mo 12:45PM - 1:40PM,Heroy Geology Building 210,Z. Wang,01/13/2025 - 04/28/2025,N/A
EAR 117,"M022-RECRegular",Mo 2:15PM - 3:10PM,Heroy Geology Building 210,Z. Wang,01/13/2025 - 04/28/2025,N/A
EAR 117,"M024-RECRegular",We 2:15PM - 3:10PM,Heroy Geology Building 210,M. Brannon,01/15/2025 - 04/23/2025,N/A
EAR 117,"M025-RECRegular",We 3:45PM - 4:40PM,Heroy Geology Building 210,M. Brannon,01/15/2025 - 04/23/2025,N/A
EAR 203,"M001-SEC Regular",MoWeFr 11:40AM - 12:35PM,Hall of Languages 214,J. Mejia,01/13/2025 - 04/28/2025,N/A
EAR 203,"M003-LAB Regular",Fr 12:45PM - 2:45PM,Heroy Geology Building 110,H. Garcia Delgado,01/17/2025 - 04/25/2025,N/A
EAR 203,"M004-LAB Regular",Tu 5:00PM - 7:00PM,Heroy Geology Building 102,H. Garcia Delgado,01/14/2025 - 04/22/2025,N/A
EAR 204,"M001-SEC FlexLong","We 3:45PM - 5:45PM Sa 9:00AM - 5:00PM","Heroy Geology Building 102 Heroy Geology Building 102","C. Junium Staff","04/02/2025 - 04/23/2025 04/05/2025 - 04/26/2025",N/A
EAR 205,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Life Science Building 001,L. Streib,01/13/2025 - 04/28/2025,N/A
EAR 205,"M002-RECRegular",Mo 8:00AM - 8:55AM,Heroy Geology Building 110,R. Polk,01/13/2025 - 04/28/2025,N/A
EAR 205,"M004-RECRegular",Fr 10:35AM - 11:30AM,Heroy Geology Building 110,R. Polk,01/17/2025 - 04/25/2025,N/A
EAR 205,"M005-RECRegular",Fr 11:40AM - 12:35PM,Heroy Geology Building 110,R. Polk,01/17/2025 - 04/25/2025,N/A
EAR 210,"M001-SEC Regular",MoWeFr 11:40AM - 12:35PM,Heroy Geology Building 217,L. Ivany,01/13/2025 - 04/28/2025,N/A
EAR 210,"M002-LAB Regular",Fr 12:45PM - 2:45PM,Heroy Geology Building 217,T. Logie,01/17/2025 - 04/25/2025,N/A
EAR 225,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Heroy Geology Building Aud,D. Curewitz,01/13/2025 - 04/28/2025,N/A
EAR 225,"M004-RECRegular",We 8:00AM - 8:55AM,Heroy Geology Building 210,P. Bonilla,01/15/2025 - 04/23/2025,N/A
EAR 305,"M001-SEC Regular",Tu 3:30PM - 6:15PM,Heroy Geology Building 210,C. Scholz,01/14/2025 - 04/22/2025,N/A
EAR 314,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Heroy Geology Building 217,J. Thomas,01/14/2025 - 04/24/2025,N/A
EAR 314,"M002-LAB Regular",Tu 12:30PM - 3:20PM,Heroy Geology Building 217,M. Koch,01/14/2025 - 04/22/2025,N/A
EAR 400,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Heroy Geology Building 005,A. Mohammed,01/14/2025 - 04/24/2025,N/A
EAR 400,"M002-SEC FlexLong",We 3:45PM - 5:05PM,Heroy Geology Building 333E,C. Scholz,01/15/2025 - 03/19/2025,N/A
EAR 400,"M003-SEC Regular",TuTh 2:15PM - 3:35PM,Heroy Geology Building 005,T. Wen,01/14/2025 - 04/24/2025,N/A
EAR 409,"M001-SEC Regular",TBA,TBA,T. Wen,01/13/2025 - 04/28/2025,N/A
EAR 410,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Heroy Geology Building 005,G. Hoke,01/13/2025 - 04/28/2025,N/A
EAR 414,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Heroy Geology Building 217,M. Chipman,01/14/2025 - 04/24/2025,N/A
EAR 417,"M001-SEC Regular",MoWeFr 10:35AM - 11:30AM,Heroy Geology Building 102,S. Samson,01/13/2025 - 04/28/2025,N/A
EAR 483,"M001-SEC Regular",Th 3:30PM - 6:15PM,Heroy Geology Building 113,M. Chipman,01/16/2025 - 04/24/2025,N/A
EAR 600,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Heroy Geology Building 005,A. Mohammed,01/14/2025 - 04/24/2025,N/A
EAR 600,"M002-SEC Regular",Tu 12:30PM - 1:30PM,Heroy Geology Building 333C,C. Newton,01/14/2025 - 04/22/2025,N/A
EAR 600,"M003-SEC Regular",TuTh 2:15PM - 3:35PM,Heroy Geology Building 005,T. Wen,01/14/2025 - 04/24/2025,N/A
EAR 610,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Heroy Geology Building 005,G. Hoke,01/13/2025 - 04/28/2025,N/A
EAR 612,"M001-SEC Regular",We 3:45PM - 4:40PM,Heroy Geology Building 333C,A. Mohammed,01/15/2025 - 04/23/2025,N/A
EAR 614,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Heroy Geology Building 217,M. Chipman,01/14/2025 - 04/24/2025,N/A
EAR 617,"M001-SEC Regular",MoWeFr 10:35AM - 11:30AM,Heroy Geology Building 102,S. Samson,01/13/2025 - 04/28/2025,N/A
EAR 628,"M001-SEC Regular",Th 11:00AM - 12:20PM,Heroy Geology Building 333C,L. Ivany,01/16/2025 - 04/24/2025,N/A
EAR 666,"M001-SEC Regular",Th 2:00PM - 2:55PM,Heroy Geology Building 333C,S. Samson,01/16/2025 - 04/24/2025,N/A
EAR 683,"M001-SEC Regular",Th 3:30PM - 6:15PM,Heroy Geology Building 113,M. Chipman,01/16/2025 - 04/24/2025,N/A
EAR 997,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
EAR 999,"M001-SEC Regular",TBA,TBA,Staff,01/13/2025 - 04/28/2025,N/A
CEN 212,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Link Hall 331,M. Blatchley,01/14/2025 - 04/24/2025,N/A
CEN 252,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Link Hall 373,K. Cadwell,01/14/2025 - 04/24/2025,N/A
CEN 341,"M005-SEC Regular",TuTh 2:00PM - 3:20PM,Link Hall 331,R. Sureshkumar,01/14/2025 - 04/24/2025,N/A
CEN 433,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Bowne Hall 414,E. Jain,01/14/2025 - 04/24/2025,N/A
CEN 451,"M001-SEC Regular",MoWeFr 10:35AM - 11:30AM,MARLEY ROOM 221,T. Walker,01/13/2025 - 04/28/2025,N/A
CEN 455,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,MARLEY ROOM 221,I. Hosein,01/14/2025 - 04/24/2025,N/A
CEN 461,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Link Hall 152,S. Todorova,01/14/2025 - 04/24/2025,N/A
CEN 474,"M001-SEC Regular","TuTh 9:30AM - 10:50AM We 9:30AM - 10:25AM","Bowne Hall 414 Bowne Hall 414","A. Joseph A. Joseph","01/14/2025 - 04/24/2025 01/15/2025 - 04/23/2025",N/A
CEN 522,"M001-SEC Regular",Th 9:30AM - 12:15PM,ONLINE SYNCHRONOUS,D. Ren,01/16/2025 - 04/24/2025,N/A
CEN 575,"M001-SEC Regular",MoWe 5:15PM - 6:35PM,Link Hall 331,A. Sangani,01/13/2025 - 04/28/2025,N/A
CEN 602,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,Bowne Hall 414,P. Yung,01/14/2025 - 04/24/2025,N/A
CEN 633,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Bowne Hall 414,E. Jain,01/14/2025 - 04/24/2025,N/A
CEN 651,"M001-SEC Regular",MoWeFr 10:35AM - 11:30AM,MARLEY ROOM 221,T. Walker,01/13/2025 - 04/28/2025,N/A
CEN 655,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,MARLEY ROOM 221,I. Hosein,01/14/2025 - 04/24/2025,N/A
CEN 661,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Link Hall 152,S. Todorova,01/14/2025 - 04/24/2025,N/A
CEN 672,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Link Hall 152,J. Trimmer,01/13/2025 - 04/28/2025,N/A
CEN 741,"M001-SEC Regular",TuTh 3:30PM - 4:50PM,Link Hall 211,A. Sangani,01/14/2025 - 04/24/2025,N/A
CEN 786,"M001-SEC Regular",MoWeFr 9:30AM - 10:25AM,Link Hall 373,J. Bond,01/13/2025 - 04/28/2025,N/A
CEN 997,"M001-SEC Regular",TBA,TBA,S. Nangia,01/13/2025 - 04/28/2025,N/A
CIS 151,"M001-SEC Regular",MoWe 11:40AM - 12:35PM,SCITC4-201,L. Wang,01/13/2025 - 04/28/2025,N/A
CIS 151,"M002-LAB Regular",MoWe 12:45PM - 2:05PM,SCITC 3-116,L. Wang,01/13/2025 - 04/28/2025,N/A
CIS 252,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Eggers Hall 010,J. Marum,01/14/2025 - 04/24/2025,N/A
CIS 252,"M002-SEC Regular",TuTh 3:30PM - 4:50PM,HB CROUSE KITTREDGE,N. Ghani,01/14/2025 - 04/24/2025,N/A
CIS 252,"M005-LAB Regular",We 2:15PM - 3:35PM,Link Hall 011,J. Marum,01/15/2025 - 04/23/2025,N/A
CIS 252,"M006-LAB Regular",We 12:45PM - 2:05PM,Link Hall 011,J. Marum,01/15/2025 - 04/23/2025,N/A
CIS 252,"M007-LAB Regular",We 5:15PM - 6:35PM,Link Hall 011,N. Ghani,01/15/2025 - 04/23/2025,N/A
CIS 321,"M003-RECRegular",We 10:35AM - 11:30AM,Life Science Building 011,C. Isik,01/15/2025 - 04/23/2025,N/A
CIS 351,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Hall of Languages 202,G. Silva de Oliveira,01/14/2025 - 04/24/2025,N/A
CIS 351,"M002-LAB Regular",We 9:30AM - 10:25AM,Link Hall 011,G. Silva de Oliveira,01/15/2025 - 04/23/2025,N/A
CIS 351,"M003-LAB Regular",We 10:35AM - 11:30AM,Link Hall 011,G. Silva de Oliveira,01/15/2025 - 04/23/2025,N/A
CIS 352,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Life Science Building 105,K. Micinski,01/14/2025 - 04/24/2025,N/A
CIS 352,"M002-LAB Regular",Mo 9:30AM - 10:25AM,Link Hall 011,K. Micinski,01/13/2025 - 04/28/2025,N/A
CIS 375,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,SCITC4-201,S. Older,01/14/2025 - 04/24/2025,N/A
CIS 375,"M002-RECRegular",Fr 9:30AM - 10:25AM,Life Science Building 105,S. Older,01/17/2025 - 04/25/2025,N/A
CIS 400,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,MARLEY ROOM 220,N. Ghani,01/14/2025 - 04/24/2025,N/A
CIS 400,"M002-SEC Regular",TuTh 5:00PM - 6:20PM,SCITC4-201,J. Marum,01/14/2025 - 04/24/2025,N/A
CIS 400,"M003-SEC Regular",TuTh 3:30PM - 4:50PM,SCITC4-201,J. Marum,01/14/2025 - 04/24/2025,N/A
CIS 400,"M004-SEC Regular",TuTh 3:30PM - 4:50PM,Link Hall room 160,C. Mohan,01/14/2025 - 04/24/2025,N/A
CIS 400,"M005-SEC Regular",TuTh 2:00PM - 3:20PM,Science & Tech Ctr 3-216,F. Rahman,01/14/2025 - 04/24/2025,N/A
CIS 400,"M006-SEC Regular",TuTh 11:00AM - 12:20PM,Sims Hall 237,J. Pollack,01/14/2025 - 04/24/2025,N/A
CIS 400,"M008-SEC Regular",MoWe 3:45PM - 5:05PM,SCITC4-201,A. Lee,01/13/2025 - 04/28/2025,N/A
CIS 425,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,SCITC4-201,M. Baruch,01/13/2025 - 04/28/2025,N/A
CIS 428,"M001-SEC Regular",TuTh 5:00PM - 6:20PM,Hall of Languages 114,A. Lee,01/14/2025 - 04/24/2025,N/A
CIS 453,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Link Hall room 160,J. Waclawski,01/13/2025 - 04/28/2025,N/A
CIS 473,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,FALK ROOM 100,V. Gandikota,01/13/2025 - 04/28/2025,N/A
CIS 473,"M002-RECRegular",Tu 5:00PM - 5:55PM,Science & Tech Ctr 3-216,V. Gandikota,01/14/2025 - 04/22/2025,N/A
CIS 473,"M003-RECRegular",Tu 9:30AM - 10:25AM,Eggers Hall 070,V. Gandikota,01/14/2025 - 04/22/2025,N/A
CIS 473,"M004-RECRegular",Tu 11:00AM - 11:55AM,Science & Tech Ctr 3-216,V. Gandikota,01/14/2025 - 04/22/2025,N/A
CIS 477,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Hall of Languages 205,J. Zhang,01/13/2025 - 04/28/2025,N/A
CIS 477,"M002-RECRegular",Tu 9:30AM - 10:25AM,Shaffer Art Building 221D,J. Zhang,01/14/2025 - 04/22/2025,N/A
CIS 477,"M003-RECRegular",Tu 11:00AM - 11:55AM,Shaffer Art Building 221D,J. Zhang,01/14/2025 - 04/22/2025,N/A
CIS 554,"M400-SEC ONL2 Wntr","TBA Tu 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","J. Weissman J. Weissman","01/02/2025 - 01/13/2025 01/14/2025 - 03/25/2025",N/A
CIS 563,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,Link Hall room 160,R. Zafarani,01/14/2025 - 04/24/2025,N/A
CIS 600,"M001-SEC Regular",MoWe 12:45PM - 2:05PM,Link Hall room 160,S. Kumarawadu,01/13/2025 - 04/28/2025,N/A
CIS 600,"M002-SEC Regular",TuTh 8:00AM - 9:20AM,Life Science Building 105,S. Kumarawadu,01/14/2025 - 04/24/2025,N/A
CIS 600,"M003-SEC Regular",TuTh 9:30AM - 10:50AM,Sims Hall 241,N. Gautam,01/14/2025 - 04/24/2025,N/A
CIS 600,"M004-SEC Regular",TuTh 3:30PM - 4:50PM,Link Hall room 160,C. Mohan,01/14/2025 - 04/24/2025,N/A
CIS 600,"M007-SEC Regular",Fr 9:30AM - 12:15PM,Hall of Languages 107,S. Kumarawadu,01/17/2025 - 04/25/2025,N/A
CIS 600,"M400-SEC ONL2 Sprng","TBA We 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","G. Wagner G. Wagner","03/26/2025 - 04/08/2025 04/09/2025 - 06/11/2025",N/A
CIS 623,"M001-SEC Regular",MoWe 8:00AM - 9:20AM,Watson Theater,A. Lee,01/13/2025 - 04/28/2025,N/A
CIS 623,"M400-SEC ONL2 Wntr","TBA Mo 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","S. Roueche S. Roueche","01/02/2025 - 01/12/2025 01/13/2025 - 03/24/2025",N/A
CIS 623,"M401-SEC ONL2 Sprng","TBA We 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","S. Roueche S. Roueche","03/26/2025 - 04/08/2025 04/09/2025 - 06/11/2025",N/A
CIS 628,"M402-SEC ONL2 Sprng","TBA Th 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","J. Weissman J. Weissman","03/26/2025 - 04/02/2025 04/03/2025 - 06/12/2025",N/A
CIS 629,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,HB CROUSE KITTREDGE,Y. Tang,01/13/2025 - 04/28/2025,N/A
CIS 651,"M001-SEC Regular",MoWe 5:15PM - 6:35PM,Life Science Building 105,H. Martel,01/13/2025 - 04/28/2025,N/A
CIS 651,"M400-SEC ONL2 Sprng","TBA Th 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","H. Martel H. Martel","03/26/2025 - 04/02/2025 04/03/2025 - 06/12/2025",N/A
CIS 655,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Heroy Geology Building Aud,E. Ercanli,01/13/2025 - 04/28/2025,N/A
CIS 655,"M400-SEC ONL2 Wntr","TBA Mo 6:30PM - 8:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","M. Abdallah M. Abdallah","01/02/2025 - 01/12/2025 01/13/2025 - 03/24/2025",N/A
CIS 655,"M401-SEC ONL2 Sprng","TB Tu 8:00PM - 9:45PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","M. Abdallah M. Abdallah","03/26/2025 - 04/07/2025 04/08/2025 - 06/17/2025",N/A
CIS 657,"M402-SEC ONL2 Wntr","TBA Mo 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","M. Abdallah M. Abdallah","01/02/2025 - 01/12/2025 01/13/2025 - 03/24/2025",N/A 
CIS 657,"M404-SEC ONL2 Sprng","TBA Tu 10:00PM - 11:45PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","M. Abdallah M. Abdallah","03/26/2025 - 04/08/2025 04/08/2025 - 06/17/2025",N/A 
CIS 662,"M001-SEC Regular",TuTh 11:00AM - 12:20PM,FALK ROOM 100,N. Gautam,01/14/2025 - 04/24/2025,N/A
CIS 663,"M400-SEC ONL2 Wntr","TBA We 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","G. Wagner G. Wagner","01/02/2025 - 01/07/2025 01/08/2025 - 03/19/2025",N/A 
CIS 667,"M001-SEC Regular",TuTh 12:30PM - 1:50PM,SCITC4-201,G. Katz,01/14/2025 - 04/24/2025,N/A
CIS 675,"M001-SEC Regular",TuTh 2:00PM - 3:20PM,Grant Auditorium,S. Soundarajan,01/14/2025 - 04/24/2025,N/A
CIS 675,"M400-SEC ONL2 Wntr","TBA Su 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","J. Chidella J. Chidella","01/02/2025 - 01/11/2025 01/12/2025 - 03/23/2025",N/A 
CIS 675,"M403-SEC ONL2 Sprng","TBA   Su 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","J. Chidella J. Chidella","03/28/2025 - 04/05/2025 04/06/2025 - 06/15/2025",N/A
CIS 700,"M001-SEC Regular",We 5:15PM - 8:00PM,SCITC3-212,M. Hoque,01/15/2025 - 04/23/2025,N/A
CIS 700,"M002-SEC Regular",TuTh 2:00PM - 3:20PM,SCITC3-212,G. Katz,01/14/2025 - 04/24/2025,N/A
CIS 700,"M003-SEC Regular",We 9:30AM - 12:15PM,SCITC 4-206,P. Varshney,01/15/2025 - 04/23/2025,N/A
CIS 731,"M001-SEC Regular",MoWe 3:45PM - 5:05PM,Link Hall 200,C. Mohan,01/13/2025 - 04/28/2025,N/A
CIS 735,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,SCITC3-212,V. Phoha,01/13/2025 - 04/28/2025,N/A
CIS 735,"M400-SEC ONL2 Sprng","TBA Mo 8:30PM - 10:15PM","ONLINE ASYNCHRONOUS ONLINE SYNCHRONOUS","G. Wagner G. Wagner","03/26/2025 - 04/06/2025 04/07/2025 - 06/16/2025",N/A
PHY 102,"M001-SEC Regular",MoWe 2:15PM - 3:35PM,Physics Building Stolk,M. Mihovilovic Skanata,01/13/2025 - 04/28/2025,N/A
PHY 102,"M002-LAB Regular",Fr 10:35AM - 12:25PM,Physics Building 110,A. Goonawardhana,01/17/2025 - 04/25/2025,N/A
PHY 102,"M004-LAB Regular",We 6:45PM - 8:45PM,Physics Building 110,J. Jones,01/15/2025 - 04/23/2025,N/A
PHY 102,"M005-LAB Regular",We 3:45PM - 5:45PM,Physics Building 110,J. Jones,01/15/2025 - 04/23/2025,N/A
PHY 102,"M008-LAB Regular",Fr 8:25AM - 10:25AM,Physics Building 110,A. Goonawardhana,01/17/2025 - 04/25/2025,N/A
PHY 211,"M001-SEC Regular",TuTh 9:30AM - 10:50AM,Physics Building Stolk,W. Freeman,01/14/2025 - 04/24/2025,N/A
PHY 211,"M002-SEC Regular",TuTh 11:00AM - 12:20PM,Physics Building Stolk,W. Freeman,01/14/2025 - 04/24/2025,N/A
PHY 211,"M009-RECRegular",TuTh 5:00PM - 5:55PM,Heroy Geology Building 114,J. Tulu,01/14/2025 - 04/24/2025,N/A
PHY 211,"M010-RECRegular",TuTh 6:30PM - 7:25PM,Heroy Geology Building 114,G. Gehlot,01/14/2025 - 04/24/2025,N/A
PHY 211,"M012-RECRegular",WeFr 9:30AM - 10:25AM,Physics Building 106,S. Pokhrel,01/15/2025 - 04/25/2025,N/A
PHY 211,"M020-RECRegular",WeFr 11:40AM - 12:35PM,Heroy Geology Building 113,G. Gehlot,01/15/2025 - 04/25/2025,N/A
PHY 211,"M023-RECRegular",WeFr 8:25AM - 9:20AM,Physics Building 104N,J. Yousefian,01/15/2025 - 04/25/2025,N/A
